sA,sB,bA,bB,pA,pB,c
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Amer_f1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Amtr_a1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Beti_e1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Bm3r1_b1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Bm3r1_b2,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Bm3r1_b3,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Hiyiir_h1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Lcara_i1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Litr_l1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Lmra_n1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Phif_p1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Phif_p2,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Phif_p3,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Psra_r1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Qacr_q1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Qacr_q2,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Srpr_s1,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Srpr_s2,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Srpr_s3,false
KT2440,KT2440,pSeva221,pSeva221,Amer_f1,Srpr_s4,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Amer_f1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Amtr_a1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Beti_e1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Bm3r1_b1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Bm3r1_b2,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Bm3r1_b3,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Hiyiir_h1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Lcara_i1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Litr_l1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Lmra_n1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Phif_p1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Phif_p2,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Phif_p3,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Psra_r1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Qacr_q1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Qacr_q2,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Srpr_s1,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Srpr_s2,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Srpr_s3,false
KT2440,DH5alpha,pSeva221,pAN,Amer_f1,Srpr_s4,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Amer_f1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Amtr_a1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Beti_e1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Bm3r1_b1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Bm3r1_b2,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Bm3r1_b3,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Hiyiir_h1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Lcara_i1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Litr_l1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Lmra_n1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Phif_p1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Phif_p2,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Phif_p3,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Psra_r1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Qacr_q1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Qacr_q2,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Srpr_s1,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Srpr_s2,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Srpr_s3,false
KT2440,DH5alpha,pSeva221,pSeva221,Amer_f1,Srpr_s4,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Amer_f1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Amtr_a1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Beti_e1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Bm3r1_b1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Bm3r1_b2,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Bm3r1_b3,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Hiyiir_h1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Lcara_i1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Litr_l1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Lmra_n1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Phif_p1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Phif_p2,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Phif_p3,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Psra_r1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Qacr_q1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Qacr_q2,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Srpr_s1,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Srpr_s2,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Srpr_s3,false
KT2440,CC118Lpir,pSeva221,pSeva221,Amer_f1,Srpr_s4,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Amer_f1,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Amtr_a1,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Beti_e1,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Bm3r1_b1,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Bm3r1_b2,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Bm3r1_b3,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Hiyiir_h1,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Lcara_i1,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Litr_l1,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Lmra_n1,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Phif_p1,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Phif_p2,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Phif_p3,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Psra_r1,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Qacr_q1,false
KT2440,KT2440,pSeva221,pSeva231,Amer_f1,Qacr_q2,false
